Exercise Minutes,Coffees,Av HR,Eat after 9pm,Steps,Age,Hours awake,Day,Sleep Rating
5,1,45,0,8432,65,8,3,2
19,1,40,0,7254,33,15,2,4
90,0,50,0,11514,42,14,4,4
45,3,55,1,7993,40,12,1,3
48,1,69,1,7249,64,11,2,2
52,2,46,1,500,37,14,7,3
5,1,57,1,8103,47,12,6,1
51,0,61,0,3620,31,16,5,3
16,1,68,1,500,46,11,2,1
51,2,40,0,7849,45,14,5,4
82,2,51,1,10145,55,14,5,4
66,1,41,1,8531,20,15,7,4
53,0,60,1,5235,50,12,5,3
12,3,61,0,7758,57,9,7,1
22,1,60,0,3474,67,12,6,1
91,1,45,1,4080,67,16,1,4
14,3,65,0,6891,78,4,7,1
65,0,59,1,2308,77,17,5,2
33,2,46,1,3821,68,11,6,2
56,1,54,0,5876,68,15,1,3
5,3,56,1,8841,53,17,1,1
75,2,41,1,7629,46,15,7,4
22,3,45,0,7323,43,14,2,3
69,3,55,1,5978,30,12,7,3
15,2,49,0,11523,20,13,6,3
39,2,58,0,7101,48,11,5,2
25,2,44,1,12896,55,14,6,3
48,3,41,1,6386,22,11,2,4
39,2,50,1,12182,50,15,3,4
40,1,62,0,7109,40,20,3,2
23,0,56,1,5514,42,18,2,2
54,1,50,1,7096,36,18,2,4
29,0,48,1,8031,25,12,3,4
40,1,42,1,9003,35,11,3,4
25,2,48,1,3983,81,14,4,1
51,3,44,1,7159,37,15,6,4
13,2,53,0,2795,38,19,5,1
46,1,55,1,2478,37,17,6,3
68,3,62,1,8363,46,16,4,3
71,2,50,1,679,54,18,4,3
33,0,69,0,10147,24,10,7,3
59,3,51,0,4857,53,14,7,3
28,2,67,1,6899,24,17,6,2
7,0,67,1,2718,64,16,6,1
19,3,63,1,8529,48,19,7,1
32,1,47,1,10876,75,15,3,3
54,0,69,0,1127,25,15,2,2
50,0,67,0,9231,26,14,3,3
5,3,44,0,6873,26,12,1,2
46,3,40,1,2540,28,13,5,3
97,2,56,1,2339,52,14,2,4
7,1,60,0,6205,56,16,3,1
71,3,43,1,5248,57,10,5,4
54,3,52,1,3724,83,13,5,2
67,3,43,1,6254,36,17,7,4
75,3,43,1,4743,42,11,2,4
43,1,60,0,3208,84,15,1,1
50,0,53,1,3760,52,12,6,3
28,0,42,0,8691,49,20,4,4
24,0,69,1,5569,60,14,7,1
55,3,64,1,3872,75,13,6,1
6,3,57,1,6708,83,15,4,1
21,2,55,0,6067,48,12,3,1
5,2,56,1,6415,45,14,3,1
5,0,64,1,6800,37,15,6,1
5,2,54,1,6469,28,9,4,1
69,1,67,0,744,22,17,2,3
5,0,63,0,4327,45,14,2,1
109,0,48,1,3730,67,13,3,4
68,3,59,1,4451,49,18,7,3
21,2,63,1,6907,79,13,6,1
48,1,61,1,4747,33,11,4,2
42,3,66,0,5768,33,9,5,1
5,0,58,1,7636,41,22,3,2
32,1,54,1,2053,50,12,3,2
74,1,64,0,8420,79,13,2,3
34,1,44,1,5310,28,14,1,4
14,2,69,1,7025,65,12,2,1
61,1,63,0,1034,61,17,3,2
5,2,51,1,500,20,14,3,1
59,0,47,1,3347,48,7,5,4
5,1,58,0,10977,69,20,3,1
58,2,45,1,9847,31,9,6,4
69,1,60,0,8302,80,16,1,3
45,1,45,1,3409,17,20,1,4
46,2,46,1,808,39,18,2,3
5,3,46,1,6758,32,20,5,2
5,3,59,1,4087,24,15,2,1
61,0,41,1,7311,43,11,4,4
74,2,64,1,3918,43,11,7,3
49,1,56,1,5317,75,16,2,2
5,3,65,0,9638,40,16,7,1
30,3,56,0,4502,42,12,4,1
55,3,59,0,6981,43,18,1,3
5,1,59,1,5866,40,15,3,1
5,3,62,1,7054,57,20,6,1
53,2,48,0,3496,28,11,6,3
5,3,52,1,5305,75,13,6,1
31,2,47,1,2404,39,12,3,2
86,1,69,1,4203,58,13,3,3
92,3,50,1,9140,21,16,7,4
5,0,48,1,3411,61,18,1,2
39,2,64,1,6627,50,20,5,2
112,3,63,0,7885,26,20,2,4
8,0,41,0,12100,77,21,1,3
99,0,45,1,5282,45,20,1,4
51,2,56,0,4663,46,17,1,3
81,1,55,1,6981,67,10,7,4
50,1,45,1,1851,20,16,2,4
5,3,46,1,9211,50,12,1,2
68,0,48,0,9145,25,10,1,4
37,2,54,0,8000,74,17,1,2
80,2,41,1,3770,51,13,7,4
5,3,60,1,1693,77,16,2,1
47,1,43,1,6505,26,17,7,4
5,2,51,1,5518,57,18,5,1
30,0,52,1,2383,40,12,5,2
5,1,62,1,6915,62,16,2,1
5,3,54,0,5330,79,14,6,1
79,2,44,0,4077,27,15,2,4
10,0,51,1,9000,60,15,2,2
96,0,52,0,5663,36,14,2,4
46,1,41,1,3638,43,12,2,4
35,0,64,0,8155,36,17,7,3
11,3,60,1,2740,77,17,1,1
32,1,55,1,3044,37,15,7,2
26,0,43,1,3621,57,19,6,3
28,2,40,0,6436,28,11,1,4
94,2,40,1,2250,49,7,3,4
13,2,68,1,1054,39,14,6,1
23,1,42,1,2533,50,11,5,2
18,0,67,1,2561,53,11,1,1
22,2,67,0,7054,78,14,6,1
5,3,60,1,1142,65,18,1,1
55,1,64,0,6353,81,20,6,2
82,0,54,1,3403,53,14,2,4
60,0,57,1,8161,44,19,6,4
39,2,67,1,4067,44,16,6,1
50,3,57,1,6756,84,18,3,2
7,0,52,0,6725,64,15,2,2
59,1,49,1,10436,77,13,1,4
55,3,54,0,6406,31,15,6,3
67,0,48,1,3856,55,12,5,4
53,2,46,1,5052,55,11,3,3
104,2,66,0,3641,62,11,5,3
87,2,42,1,4830,62,8,2,4
34,3,56,1,4714,16,14,3,2
64,1,62,1,6440,26,14,4,3
17,2,58,1,4042,62,19,5,1
51,0,56,1,9952,70,16,1,4
49,0,61,1,8024,43,19,1,3
37,0,59,0,7436,81,9,4,2
18,1,48,1,7137,59,11,4,2
32,3,44,0,5549,57,16,2,3
27,0,60,0,5510,39,12,4,2
48,1,67,1,4745,41,15,3,2
36,0,40,1,6470,41,14,2,4
33,0,47,1,7665,76,14,3,3
75,2,46,1,5665,30,12,1,4
25,2,46,1,7876,72,15,7,2
31,0,44,1,5167,42,14,1,4
19,3,51,0,1839,28,15,4,1
50,3,65,1,1222,36,17,7,1
5,2,54,1,3554,24,13,4,1
59,1,40,0,6149,22,21,5,4
36,2,41,1,4330,57,18,5,3
33,1,41,0,1189,33,12,3,3
15,2,57,0,5274,79,15,1,1
62,2,69,1,10909,68,15,5,2
70,3,52,0,6640,82,19,6,3
78,3,54,0,3037,41,12,5,3
39,0,42,1,5219,70,15,4,3
75,3,47,0,2873,50,16,5,3
57,0,58,1,5817,81,10,4,2
68,3,41,1,5964,85,17,5,3
5,2,64,1,9729,83,15,3,1
7,2,59,1,5321,25,14,2,1
38,0,44,0,8257,42,18,4,4
70,1,59,1,9199,35,15,2,4
5,3,47,1,6961,50,12,7,1
45,3,42,1,4435,85,19,5,2
48,3,60,1,4132,59,16,7,1
7,0,62,1,11010,66,13,6,1
48,0,63,1,6641,73,8,5,2
5,1,51,1,500,21,14,3,1
112,3,61,1,3650,82,15,2,4
42,3,52,1,8242,37,12,4,3
24,2,49,0,4280,27,9,1,2
45,0,65,0,1879,50,17,3,2
70,2,49,0,4242,29,16,6,4
59,0,44,1,4513,75,16,6,4
80,3,50,1,7805,71,16,7,4
64,2,56,1,8702,36,10,3,4
5,3,69,0,10657,20,7,4,1
96,0,41,0,5848,49,10,5,4
5,2,40,0,8091,75,15,7,2
76,3,65,1,1733,78,16,1,2
67,2,69,1,11754,22,18,7,4
25,1,61,1,1519,33,15,7,1
63,2,50,1,6291,41,17,1,4
90,1,68,0,5233,76,17,2,3
49,1,61,1,5801,33,12,3,3
42,1,51,1,4631,21,15,4,3
64,3,68,1,3037,25,13,3,2
5,1,45,1,1201,77,12,4,1
5,3,55,1,3900,70,15,2,1
5,1,45,1,8179,55,15,4,2
5,1,47,1,5148,37,13,3,2
51,3,55,1,3122,40,13,3,2
52,0,53,1,3806,48,13,6,3
43,2,57,0,500,63,17,1,1
13,3,60,0,8658,74,16,7,1
59,2,64,1,3862,83,16,5,1
13,2,69,1,9302,25,9,5,1
21,1,50,1,8792,62,16,1,3
42,2,66,1,6324,53,18,2,2
5,0,60,1,8024,79,11,7,1
56,0,64,1,500,36,16,1,2
26,2,56,1,7206,49,12,7,2
62,1,61,1,4261,59,18,5,3
96,1,57,1,7086,23,16,2,4
22,1,45,1,4550,24,11,2,3
45,2,44,1,2954,55,22,6,3
10,1,69,1,6385,50,19,3,1
42,3,68,0,8460,80,12,1,1
17,0,49,1,4597,71,14,6,2
5,2,54,1,2171,29,11,7,1
61,3,51,1,7741,73,15,6,3
5,1,47,1,5821,55,17,4,2
67,3,46,0,10264,22,13,2,4
5,0,53,1,3057,39,6,7,1
5,1,40,0,500,59,12,3,1
5,0,64,1,8503,59,22,2,1
75,1,40,1,6650,69,17,5,4
110,3,40,1,6552,53,18,1,4
24,3,66,1,6237,81,16,2,1
73,2,63,1,8422,25,9,2,4
19,3,68,1,4186,63,15,7,1
34,3,44,0,8746,64,15,6,3
49,3,66,1,9311,40,18,7,2
96,3,45,0,5110,24,14,5,4
53,2,45,0,7622,83,11,5,3
36,3,60,0,10575,37,14,4,2
37,2,65,1,2807,56,18,2,1
25,3,42,1,4436,39,11,2,3
15,2,65,1,11339,26,8,2,2
59,0,42,0,4519,51,14,2,4
102,3,61,0,7883,22,17,2,4
84,2,40,1,7271,41,14,2,4
24,1,51,1,4748,47,19,4,2
53,1,50,1,1295,73,18,7,2
62,2,59,1,6018,51,15,2,3
34,2,55,1,5723,34,16,1,3
62,3,57,1,7789,18,15,2,4
25,3,63,1,5931,64,10,1,1
71,2,47,1,6749,18,18,6,4
36,1,67,1,4236,47,19,5,1
22,2,45,1,6363,64,13,3,2
111,3,44,1,3981,45,18,7,4
16,3,60,0,2560,34,13,7,1
30,3,56,0,6715,60,9,3,1
18,2,45,1,3164,78,14,1,1
11,2,58,1,4657,32,13,5,1
5,1,57,1,6557,43,11,5,1
5,0,59,1,8737,26,22,7,2
18,0,44,1,8669,49,9,6,3
5,0,51,1,9157,42,16,3,2
53,1,53,1,3801,33,16,6,3
54,2,48,0,6312,22,12,6,4
23,0,65,1,500,83,14,6,1
43,1,57,0,5506,62,9,6,2
28,1,45,1,5504,77,13,2,2
5,3,51,0,6077,67,14,3,1
22,2,56,1,500,56,16,7,1
37,2,60,0,11477,30,11,4,3
14,1,69,1,8302,71,19,3,1
26,2,68,0,643,52,10,2,1
47,0,46,1,4136,83,15,4,3
82,3,54,1,8852,71,11,3,4
37,1,43,1,1659,33,16,7,3
31,0,63,1,5691,39,18,2,2
5,2,47,1,5409,71,20,6,1
84,0,51,0,2546,60,16,6,4
5,2,42,1,9825,16,9,4,3
36,0,44,1,7665,72,19,6,3
58,0,60,1,8443,63,19,1,3
32,2,52,1,11199,65,15,1,3
7,3,48,1,4311,45,14,2,1
66,0,59,1,1569,34,18,6,3
100,2,56,0,12810,47,17,4,4
43,2,51,0,4659,80,10,6,2
32,1,59,1,7240,51,11,6,2
30,0,54,0,5728,72,17,1,2
47,1,58,0,2985,63,16,5,2
58,2,69,1,4423,40,15,2,2
5,0,50,0,5268,44,12,6,2
20,3,43,0,7952,22,15,7,3
5,3,42,1,9286,21,15,3,3
40,3,60,1,4299,71,13,2,1
55,2,61,1,3124,32,10,4,2
20,1,65,1,500,37,11,6,1
38,0,43,1,2199,45,11,2,3
85,3,69,1,12505,47,13,6,4
5,1,67,1,6767,52,19,6,1
5,0,40,1,6135,66,20,4,2
45,1,55,0,4704,38,15,6,3
5,3,41,1,10084,27,13,2,3
35,0,59,1,6403,53,16,2,3
5,1,55,1,1164,83,15,3,1
93,2,64,0,6847,26,14,3,4
66,1,48,1,5666,53,8,6,4
5,1,40,0,7000,25,15,6,3
71,1,69,1,9440,48,16,6,3
77,1,47,1,3867,39,18,2,4
51,2,48,1,5353,42,16,5,3
5,3,50,1,5251,28,18,7,1
92,3,68,0,9993,45,15,5,4
51,3,58,0,2404,40,18,2,2
50,2,49,0,5530,85,17,1,3
68,3,60,1,4491,34,12,5,3
5,3,62,0,3621,72,10,7,1
76,0,42,1,7027,73,11,3,4
5,0,55,1,10225,30,13,7,2
51,0,57,0,10358,35,11,3,4
51,1,40,1,5731,34,14,4,4
65,0,68,1,4354,43,17,2,3
51,1,52,0,2511,85,17,5,2
10,2,48,1,6332,50,13,4,2
13,0,66,0,5682,47,16,7,1
5,1,49,0,5613,46,12,1,2
55,1,56,0,5466,52,12,3,3
62,2,57,1,4162,83,14,4,2
6,3,49,1,3675,65,16,3,1
5,1,66,1,7560,45,9,1,1
18,2,46,1,13478,27,16,6,4
29,1,69,1,1510,34,11,6,1
53,2,61,1,5633,67,17,4,2
26,3,46,1,6632,66,11,1,2
76,2,46,1,7293,61,13,2,4
46,0,61,1,3209,65,17,5,2
34,1,60,1,5939,16,10,5,3
5,1,68,0,4661,47,11,2,1
5,1,55,1,2879,59,16,5,1
48,2,56,1,5537,18,10,7,3
16,2,52,1,4321,51,12,6,1
35,3,46,0,2762,82,13,6,1
50,3,64,0,2853,83,13,1,1
14,1,43,1,8955,52,9,3,3
70,2,46,1,5749,34,20,5,4
67,0,55,1,4825,58,22,5,4
59,2,47,1,8042,34,15,6,4
53,2,52,1,6647,64,15,1,3
71,3,66,1,7260,83,17,5,2
43,1,52,1,4723,23,11,1,3
65,2,43,1,8386,38,10,5,4
19,0,46,1,5114,65,12,1,2
65,0,67,0,7124,30,14,3,3
51,1,40,1,9778,78,16,3,4
42,3,62,1,500,67,14,4,1
69,1,45,1,8123,36,14,7,4
99,3,48,1,1402,33,13,5,4
62,2,45,1,10395,32,16,7,4
41,0,63,0,1011,66,14,6,1
86,0,47,1,4721,75,13,5,4
22,3,68,1,7843,25,14,3,1
78,2,58,0,4694,31,15,2,4
60,0,41,1,8405,24,18,5,4
29,0,48,1,2305,16,17,4,3
54,2,66,0,6526,25,12,6,3
17,2,55,1,8608,80,19,2,1
38,0,58,0,4108,22,15,2,3
45,0,58,1,9431,23,13,2,4
42,2,52,1,6775,27,11,7,3
48,1,66,1,12346,31,15,5,3
100,1,68,1,7067,78,18,7,3
89,3,44,1,5161,43,17,2,4
42,2,69,1,6340,68,11,4,1
88,3,61,1,2953,76,14,4,2
49,1,67,1,6589,75,11,7,1
18,2,57,0,2495,29,15,3,1
36,1,66,0,4731,61,13,6,1
68,0,67,1,2814,57,13,4,2
47,0,46,1,2379,43,16,7,3
38,0,40,1,6136,77,6,1,3
30,0,45,0,6011,77,19,6,3
90,0,46,1,5014,61,13,3,4
45,1,54,0,4818,58,20,2,3
9,2,55,1,6899,18,14,6,2
33,3,53,1,4112,43,16,4,2
23,2,68,0,5644,49,9,1,1
59,0,49,0,6071,80,14,1,4
90,0,62,1,8154,59,10,2,4
37,3,54,1,6925,31,16,1,3
5,3,55,0,5359,26,15,5,1
59,2,59,1,2214,29,15,1,3
5,0,50,1,5584,64,11,1,2
54,2,60,1,5402,58,18,3,2
6,0,55,1,4275,24,16,3,2
5,3,45,1,1399,72,15,5,1
26,3,60,0,5773,53,11,1,1
57,0,45,0,11386,56,13,3,4
5,0,58,1,4557,30,16,5,1
59,3,56,1,7363,27,16,3,3
47,1,66,1,500,70,15,2,1
5,0,48,1,7923,43,12,2,3
42,0,48,1,3362,56,14,6,3
58,3,68,1,3910,38,15,7,2
5,2,55,1,7546,30,13,1,2
71,3,55,0,11149,22,18,2,4
53,1,43,1,7055,79,11,1,4
24,3,57,1,7203,58,13,1,1
76,3,62,1,5218,84,12,2,2
67,3,54,1,3294,29,16,2,3
71,1,57,1,7915,29,14,1,4
40,3,68,1,6776,16,16,2,2
88,1,42,1,8252,33,18,2,4
37,0,43,0,6565,66,13,2,4
22,1,47,0,3043,40,14,7,2
16,2,49,1,615,25,16,2,2
78,3,67,1,5403,64,14,1,2
41,2,44,1,7329,74,10,7,3
64,1,52,0,10515,36,19,2,4
5,2,41,0,7360,37,10,5,2
95,3,52,1,4845,56,13,7,4
19,2,43,0,1481,55,17,5,2
6,0,61,1,4439,80,13,4,1
69,0,59,0,8348,83,14,7,3
5,0,40,0,5746,45,16,3,3
44,2,69,0,5546,75,13,3,1
5,3,50,0,3550,81,13,6,1
23,1,58,1,6196,28,7,2,2
73,2,45,1,2433,78,22,7,3
22,2,64,1,9010,59,16,3,1
54,2,55,1,2052,21,20,6,3
10,2,52,1,7503,31,18,5,2
59,3,45,1,5249,47,13,6,3
70,0,56,1,7416,63,21,4,4
41,0,64,1,7868,26,12,2,3
107,1,55,1,11339,85,15,1,4
68,3,44,1,6347,85,14,6,3
5,2,61,0,4089,44,11,6,1
17,0,45,0,6171,48,15,6,3
20,2,57,0,3751,33,21,5,1
60,2,52,1,7064,37,13,5,4
45,2,66,1,1654,23,13,6,1
5,1,46,0,4725,20,13,3,2
48,3,53,1,7544,75,12,6,2
36,1,62,1,2233,39,17,1,2
46,3,43,1,5691,29,15,6,3
29,2,53,0,3385,22,16,2,2
67,0,60,0,4671,29,13,6,4
10,3,68,1,3160,60,16,6,1
88,3,58,1,5682,34,18,5,4
46,3,41,1,500,25,12,4,3
79,0,56,1,3011,67,19,6,3
22,1,56,1,8811,61,13,4,2
26,0,62,0,544,17,15,6,2
84,2,66,1,3726,68,20,6,2
42,0,48,1,6185,47,15,3,3
31,1,45,0,7749,80,14,7,3
5,3,45,1,10777,65,13,4,2
16,1,56,1,7923,77,14,5,1
90,1,55,1,3018,54,15,3,4
95,3,48,0,7614,61,18,4,4
13,0,57,0,6219,56,17,6,1
84,0,57,1,9862,53,10,3,4
38,2,40,1,4041,38,11,7,3
31,2,54,1,11351,61,16,4,3
42,3,50,0,7151,33,18,5,3
62,1,52,1,5057,18,13,3,4
57,0,42,1,9237,21,14,4,4
68,1,40,1,7499,45,15,6,4
38,2,60,1,500,24,13,6,1
86,2,40,1,4236,61,11,7,4
70,0,44,0,8712,49,16,4,4
63,1,68,1,10908,79,18,6,3
59,3,63,1,500,56,11,3,1
19,0,55,1,6614,74,8,5,1
69,0,40,1,7625,66,13,2,4
36,0,45,1,4880,61,14,3,3
43,2,50,1,13781,70,17,4,4
63,2,41,1,5944,55,10,5,4
25,1,45,1,2548,62,8,6,2
55,0,43,1,7321,61,16,4,4
5,2,60,1,7780,33,13,7,1
63,3,46,0,2570,16,16,1,4
5,0,49,1,5374,18,15,4,2
17,3,55,0,5982,70,17,2,1
69,2,60,1,4667,32,17,7,3
31,1,54,1,2954,74,15,7,1
11,1,65,1,8281,39,17,6,1
5,1,51,0,7165,50,15,4,2
10,3,59,1,1692,30,13,7,1
39,0,64,0,6931,70,14,6,2
21,2,50,0,8652,85,14,2,2
52,3,62,1,4095,71,13,7,1
79,0,64,0,3938,20,15,1,4
48,2,53,0,5506,18,12,7,3
53,2,66,1,7942,38,10,7,2
5,3,47,0,5712,46,13,7,1
71,0,64,0,4947,71,16,3,3
70,2,42,1,4938,83,8,1,4
52,1,44,1,8837,75,12,5,4
55,1,49,1,3955,23,15,6,4
42,3,52,0,8540,72,17,6,2
43,0,41,0,9411,19,16,3,4
42,1,60,1,5427,69,16,3,2
10,1,63,1,9743,58,15,6,1
64,2,68,0,4250,33,17,7,2
37,2,58,1,8552,65,17,1,2
22,0,52,1,10280,22,10,4,3
128,0,59,1,5239,37,18,2,4
31,2,43,1,500,64,14,6,2
51,1,48,1,7757,67,18,6,3
31,3,51,1,8960,65,18,3,2
35,0,58,1,7668,24,13,1,3
84,0,60,1,6240,17,16,5,4
17,1,65,1,9016,70,15,6,1
5,2,49,0,3262,25,20,6,2
5,2,56,1,4804,38,14,7,1
63,1,48,0,9441,49,16,6,4
5,2,52,1,4213,50,12,4,1
28,0,59,1,3917,69,15,5,1
19,3,58,1,9452,85,14,7,1
5,0,63,1,500,32,13,5,1
29,1,46,1,3957,26,15,4,3
47,1,47,0,3855,56,15,1,3
70,3,62,0,4267,63,20,5,2
64,3,65,1,3931,57,12,3,2
28,3,65,1,6952,42,16,7,1
45,1,49,0,5774,72,16,2,3
38,3,61,1,8649,75,14,1,2
5,1,60,1,6161,20,17,6,1
79,2,47,0,10831,68,14,7,4
33,1,58,1,10669,62,16,5,3
24,3,66,0,7036,16,11,4,1
18,2,69,1,11139,26,13,2,2
50,1,48,0,5350,23,16,6,4
71,3,43,1,5293,80,18,3,3
72,2,69,0,4921,52,16,4,2
5,3,62,1,6024,72,17,5,1
56,3,45,0,4075,85,13,4,2
37,0,53,1,9075,78,12,1,3
16,2,54,1,8491,35,14,3,2
17,2,48,1,7194,60,11,3,2
40,2,47,1,7775,45,20,4,3
50,1,40,1,12065,39,12,2,4
66,3,41,0,7296,48,16,2,4
11,3,51,0,11145,48,20,6,2
82,1,56,0,6733,78,16,1,4
17,3,49,1,7077,71,6,6,1
59,0,57,1,9240,39,13,3,4
47,2,57,0,2847,52,13,4,2
92,0,68,1,905,78,16,6,2
28,2,58,0,9341,71,16,2,2
92,3,66,0,8093,16,12,1,4
5,2,45,1,4680,79,12,4,1
42,0,60,1,8914,81,16,3,2
43,3,58,1,1415,29,13,3,2
5,2,51,0,4621,51,14,2,1
20,1,57,0,4260,21,13,3,2
60,1,52,0,5447,52,13,2,4
67,2,56,0,8004,77,13,4,3
23,0,69,1,7604,84,16,6,1
16,0,44,1,4560,50,15,4,2
46,3,62,1,7934,51,12,1,2
123,1,41,1,8340,59,19,1,4
54,3,55,0,3743,20,18,6,3
5,2,63,0,14168,82,11,4,1
48,2,63,1,1394,58,14,1,1
17,2,52,1,8785,28,11,3,2
5,0,67,0,1513,68,17,2,1
8,2,62,1,5093,79,13,7,1
5,2,53,1,5899,26,11,5,1
59,1,58,1,5999,76,16,5,3
56,3,62,0,1966,57,14,7,1
86,2,61,1,8972,41,16,3,4
78,0,51,1,9843,80,10,6,4
11,2,61,1,5470,36,16,1,1
38,2,43,1,9584,29,12,7,4
18,3,46,1,7701,36,18,6,2
29,0,49,1,4580,46,10,2,3
56,2,48,1,7339,75,14,2,3
29,3,43,1,5033,81,14,2,2
45,2,50,1,8667,41,12,7,3
65,0,46,1,3058,16,14,3,4
14,1,56,0,6728,25,15,1,2
18,1,67,1,10226,66,7,5,1
34,2,52,0,6289,56,12,2,2
44,2,63,1,2907,52,20,2,2
9,1,48,0,8878,49,19,3,2
5,0,47,1,10189,65,22,7,3
28,0,61,1,8305,82,12,1,2
5,2,53,1,5269,83,16,5,1
92,3,68,1,9950,44,14,7,4
45,1,41,1,8508,54,17,2,4
36,3,57,1,5691,19,7,4,2
8,3,64,0,10022,39,13,7,1
77,0,60,1,6551,32,13,6,4
66,2,62,1,8375,48,16,7,3
63,3,45,1,3109,30,14,1,4
35,1,41,1,9347,54,11,4,4
5,3,40,1,8598,59,10,3,2
79,3,42,1,10471,80,16,1,4
19,2,47,0,3588,54,12,6,2
40,0,42,1,708,65,14,3,3
93,2,52,0,6110,64,11,5,4
5,3,53,1,7841,19,13,7,2
